id;X1;X2;X3;Y
1;716.08;78.74;868.85;-1968.75
2;379.63;819.85;28.65;-730.8
3;491.38;820.4;699.25;-149.39
4;-209.23;-96.04;22.82;947.21
5;-736.3;918.63;961.05;6500.78
6;638.98;530.58;8.17;-2436.05
7;895.81;-511.71;-211.67;-5476.1
8;867.18;597.11;714.24;-2283.86
9;631.98;943.2;-751.74;-3133.47
10;-469.11;-964.74;-663;-89.2
11;903.02;480.21;-304.86;-4339.53
12;-690.27;-739.17;-720.93;1209.57
13;156.08;742.25;-449.68;-535.87
14;394.97;-970.2;109.87;-3068.03
15;-958.29;-963.81;-476.4;2648.98
16;464.88;-148.2;-701.8;-3684.38
17;604.86;455.76;-780.84;-3702.47
18;-884.6;424.29;867.79;6415.93
19;-761.44;231.7;358.38;4686.96
20;98.11;-342.25;-634.55;-2014.84
21;-150.84;-195.58;696.38;1663.31
22;-69.42;-286.5;-100.73;-209.2
23;-395.67;-677.22;-146.66;805.1
24;-611.17;767.61;844.77;5483.59
25;-366.53;-271.66;-662.52;331.75
26;197.69;-861.46;-641.98;-3215.72
27;-884.23;-745.02;-327.11;2826.91
28;415.51;954.16;692.01;392.6
29;193.95;983.67;408.37;1050.06
30;483.12;168.73;-702.39;-3350.26
31;-109.24;-910.44;994.23;1002.51
32;-966.19;849.42;-117.33;5724.13
33;-251.1;-964.57;-404.81;-732.17
34;200.88;-578.97;611.99;-734.46
35;98.53;52.91;-489.24;-1242.29
36;16.8;541.46;50.17;729.62
37;14.2;-370.55;101.14;-393.4
38;-325.98;841.57;1.31;2745.39
39;-861.37;251.72;145.27;4848.63
40;-40.93;-543.14;-823.97;-1917.15
41;-262.57;-445.19;757.04;1983.91
42;815.27;303.14;883.95;-2132.84
43;851.25;576.77;-551.3;-4370.86
44;-342.14;66.99;976.09;3435.2
45;-401.26;-510.97;257.98;1739.09
46;363.03;-463.22;-142.52;-2657.05
47;-381.17;574.41;-398.77;1984.49
48;-405.75;189.16;770.59;3566.29
49;651.27;483.93;-69.91;-2692.47
50;913.47;-30.81;-593.59;-5564.07
51;797.02;654.8;-264.02;-3511.82
52;-414.54;563.7;-127.08;2595.34
53;140.37;338.67;9.03;-224.43
54;-214.17;-679.8;805.99;1512.4
55;-529.91;-766.03;-796.02;252.83
56;-150.43;890.62;-681.43;787.84
57;932.37;505.8;959.67;-2313.95
58;78.44;-695.44;-988.75;-2989.41
59;-286.34;679.42;605.37;3352.38
60;-876.73;262.48;187.34;5010.32
61;-445.9;-512.6;586.75;2514.02
62;862.58;155.73;251.34;-3634.71
63;233.73;259.64;-315.81;-1341
64;653.59;-841.04;732.42;-3122.33
65;-438.83;-199.31;980.81;3564.77
66;219.47;705.82;82.04;-0.86
67;-543.37;796.12;-919.01;2205.19
68;974.83;-425.07;-911.7;-6934.05
69;757.76;-677.83;-954.12;-6270.3
70;-856.51;-929.53;-349.32;2405.1
71;-565.08;970.83;-400.73;3422
72;803.49;72.09;-514.93;-4748.83
73;461.54;292.63;-69.94;-2008.51
74;963.09;538.52;636.42;-2968.9
75;501.85;-544.66;861.93;-1756.27
76;-718.19;637.62;482.21;5225.78
77;-17.78;-232.46;760.29;1063.71
78;669.87;497.63;325.17;-2097.67
79;-885.35;-157.99;-258.54;3736.38
80;813.22;-239.02;146.61;-4095.99
81;-140.31;-665.05;-243.37;-606.86
82;601.83;877.36;-905.66;-3332.6
83;-492.77;45.75;-109.61;2316.9
84;-886.16;184.46;755.53;5912.73
85;814.52;-66.93;771.14;-2816.25
86;442.11;491.3;-37.67;-1591.41
87;473.07;834.73;-495.78;-2058.38
88;-122.94;-218.35;-940.74;-1271.98
89;585.01;-952.77;272.77;-3709.38
90;-861.87;727.9;541.65;6158.33
91;158.23;-722.95;-984.84;-3414.45
92;-571.89;-650.24;-814.19;585.81
93;-174.94;-813.36;729.15;1010.28
94;-343.48;-788.45;190.73;967.92
95;-359.2;769.05;416.47;3514.54
96;-301.12;-308.86;-456.02;307.29
97;908.33;899.84;147.15;-3040.96
98;-892.15;900.92;-633.03;4555.2
99;577.25;65.2;-824.57;-4161.63
100;-194.25;-243.76;-705.27;-555.89
