id;X1;X2;X3;Y
1;-83.66;-690.43;564.96;-4992.24
2;809.65;420.39;177.15;5374.43
3;-66.41;-707.56;-135.62;-3318.36
4;-256.63;-456.21;548.58;-4664.52
5;-128.98;275.23;-758.21;2504.37
6;338.41;778.51;650.42;3710.36
7;-581.5;-274.4;-673.42;-2417.28
8;-654.83;-258.94;907.88;-6469.17
9;627.66;-342.68;-936.5;3583.98
10;321.35;61.36;-434.81;2846.04
11;537.14;-923.38;281.61;-2487.5
12;405.29;-994.88;136.58;-3099.88
13;672.33;844.31;-95;7374.31
14;15.29;-40.65;-96.77;116.07
15;178.81;9.07;952.83;-1388.52
16;502.44;493.32;-747.1;6479.27
17;-905.07;-913.14;557.25;-9891.91
18;12.29;-59.94;-520.2;1022.69
19;-226.78;190.56;-175.88;252.91
20;891.07;984.37;-62.14;8985.79
21;-720.1;779.64;840.03;-1723.74
22;-312.07;-712.22;-945.38;-2561.32
23;255.71;18.17;176.47;872.28
24;571.02;15.53;532.78;1493.63
25;854.31;-238.58;-417.58;3902.57
26;-310.47;468.84;791.62;-1141.61
27;376.64;804.09;-71.52;5735.77
28;255.3;659.78;-164.92;4707.82
29;-484.05;-468.33;493.98;-5663.32
30;789.44;-952.53;968.53;-3080.59
31;205.7;-95.3;712.11;-1178.32
32;522.01;-565.81;-683.13;1430.21
33;-170.21;-398.62;614.53;-4144.45
34;290.37;106.69;-339.53;2685.69
35;-653.6;-611.97;-680.29;-4330.96
36;-783.29;-648.3;474.45;-7872.53
37;12.82;-255.99;-885.22;974.38
38;-80.58;-74.69;487.57;-1892.69
39;938.47;-508.61;-611.35;3490.3
40;-473.48;485.8;-418.17;1061.74
41;351.74;446.47;298.31;3050.05
42;-721.21;693.85;-866.33;1944.81
43;503.06;49.86;-532.1;3878.92
44;75.11;-859.42;257.72;-4305.52
45;684.84;119.41;-530.12;5058.18
46;813.86;-859.83;-987.22;2147.06
47;-697.27;-302.01;402;-5663.72
48;11.56;-211.21;-197.28;-465.07
49;-651.22;565.83;211.56;-903.7
50;24.56;46.54;160.83;-44.49
51;-537.42;-946.05;-110.41;-6719.87
52;360.35;139.97;598.68;929.6
53;-755.19;-92.61;98.24;-4224.81
54;-331.95;691.39;758.84;-117
55;-707.34;-779.03;829.13;-8978.78
56;958.88;-882.92;-278.28;1026.78
57;-924.76;877.78;-512.1;1007.29
58;-817.7;-210.38;322.91;-5610.76
59;-370.65;-742.17;685.52;-6876.64
60;346.9;-321.86;697.36;-1544.29
61;-899.99;-190.96;921.1;-7335.43
62;-263.47;428.72;152.51;417.24
63;-868.82;147.21;-379.22;-2488.8
64;669.72;-704.81;649.45;-1713.09
65;168.8;-68.11;554.92;-849.13
66;366.77;245.04;-984.63;5238.45
67;789.22;949.22;157.06;7816.27
68;-738.11;-880.2;329.56;-8405.24
69;-81.26;-740.93;241.9;-4446.27
70;-632.6;363.4;-233.61;-705.33
71;774.24;-15.94;-547.23;4883.11
72;250.43;-319.34;549.32;-1633.91
73;-861.86;289.38;930.48;-4916.16
74;-579.16;453.81;970.41;-2905.52
75;-204.4;677.51;-85.1;2434.36
76;357.23;559.29;-673.73;5930.94
77;-451.69;576.95;647.99;-955
78;948.67;-332.93;169.63;2498.21
79;3.61;-107.95;667.39;-2082.84
80;963.99;-228.22;-980.38;5813.6
81;543.03;-161.77;-76.33;1982.56
82;456.96;-596.94;115.75;-932.21
83;623.33;-636.54;206.35;-551.47
84;29.75;-618.31;567.59;-4125
85;45.37;694.41;969.64;1171.25
86;-72.1;864.46;-166.41;4133.52
87;-838.68;584.77;891.26;-3321.61
88;-233.77;-945.05;288.15;-6236.32
89;-829.03;243.38;-474.74;-1619.56
90;758;-482.72;328.7;515.04
91;775.25;659.56;511.24;5539.75
92;532.23;769.02;-745.08;7914.01
93;153.33;424.47;-675.76;4340.16
94;-833.25;-834.98;-154.52;-7484.85
95;-764.04;-725.58;-143.97;-6668.38
96;780.22;-962.15;-729.41;890.52
97;678.27;-820.27;718.74;-2381.97
98;32.65;467.22;2.73;2351.35
99;-986.66;-936.68;414.2;-10044.97
100;-300.48;-283.95;-713.4;-1043.98
